bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,117,0.026643781886817163,0.03418803418803419,raw
1,0.05,0.1,275,0.07826381707685752,0.04,raw
2,0.1,0.15000000000000002,381,0.12610722906840247,0.03412073490813648,raw
3,0.15000000000000002,0.2,509,0.17476239511689684,0.08840864440078586,raw
4,0.2,0.25,560,0.22684638349966849,0.10714285714285714,raw
5,0.25,0.30000000000000004,592,0.27483583621789315,0.125,raw
6,0.30000000000000004,0.35000000000000003,640,0.3248675519817473,0.1484375,raw
7,0.35000000000000003,0.4,642,0.3749882307075434,0.19158878504672897,raw
8,0.4,0.45,605,0.4252818468432232,0.23471074380165288,raw
9,0.45,0.5,574,0.47527826770746184,0.2421602787456446,raw
10,0.5,0.55,525,0.5244785371886139,0.2819047619047619,raw
11,0.55,0.6000000000000001,508,0.57457743104134,0.31299212598425197,raw
12,0.6000000000000001,0.65,481,0.6240123657439728,0.3659043659043659,raw
13,0.65,0.7000000000000001,440,0.6739434682109275,0.4,raw
14,0.7000000000000001,0.75,373,0.7248636423866364,0.4745308310991957,raw
15,0.75,0.8,317,0.7755243891508963,0.4384858044164038,raw
16,0.8,0.8500000000000001,263,0.823936521112973,0.5703422053231939,raw
17,0.8500000000000001,0.9,200,0.8709533191612868,0.635,raw
18,0.9,0.9500000000000001,106,0.9223981816028564,0.7641509433962265,raw
19,0.9500000000000001,1.0,41,0.9720152170706692,0.7073170731707317,raw
0,0.0,0.05,355,0.032950384821809814,0.03943661971830986,cal_sigmoid
1,0.05,0.1,946,0.07695623380698713,0.06448202959830866,cal_sigmoid
2,0.1,0.15000000000000002,1228,0.12560024604285325,0.11319218241042345,cal_sigmoid
3,0.15000000000000002,0.2,1197,0.17482153642356538,0.18128654970760233,cal_sigmoid
4,0.2,0.25,993,0.22401624311985752,0.22658610271903323,cal_sigmoid
5,0.25,0.30000000000000004,801,0.27342578633710735,0.2808988764044944,cal_sigmoid
6,0.30000000000000004,0.35000000000000003,676,0.3241141122208247,0.34171597633136097,cal_sigmoid
7,0.35000000000000003,0.4,527,0.3747199298962923,0.3795066413662239,cal_sigmoid
8,0.4,0.45,376,0.4236453685683752,0.449468085106383,cal_sigmoid
9,0.45,0.5,303,0.47404847854673404,0.4389438943894389,cal_sigmoid
10,0.5,0.55,233,0.5239605976211499,0.51931330472103,cal_sigmoid
11,0.55,0.6000000000000001,171,0.5743231766685185,0.5730994152046783,cal_sigmoid
12,0.6000000000000001,0.65,138,0.6210836198428862,0.6086956521739131,cal_sigmoid
13,0.65,0.7000000000000001,78,0.6752686029445572,0.7051282051282052,cal_sigmoid
14,0.7000000000000001,0.75,47,0.7217636517013445,0.7659574468085106,cal_sigmoid
15,0.75,0.8,39,0.7775877535985554,0.7948717948717948,cal_sigmoid
16,0.8,0.8500000000000001,17,0.8219371203810111,0.5882352941176471,cal_sigmoid
17,0.8500000000000001,0.9,12,0.8775834512795635,0.8333333333333334,cal_sigmoid
18,0.9,0.9500000000000001,5,0.930681987758547,1.0,cal_sigmoid
19,0.9500000000000001,1.0,7,0.9804631654685778,0.5714285714285714,cal_sigmoid
