scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
ALL,0.0,8149,0.25377346913731746,0.03616152560975594,294.68027219390115,0.2869063688796171,0.1794085163823782,-0.14745045392081418,35.0,35.0
ALL,0.02,8073,0.2560386473429952,0.04608357651090085,372.03271317250255,0.2894834633965069,0.18109748544531154,-0.13744497721825488,34.0,34.0
ALL,0.04,7803,0.26387286940920157,0.08003853569300261,624.5406940124993,0.2979623221837755,0.18582596437267718,-0.10165262325901263,33.0,31.0
ALL,0.06,7421,0.2754345775501954,0.13084322162622355,970.987547688205,0.310605039752055,0.19215739118717154,-0.047739664302151284,32.0,27.0
ALL,0.08,6934,0.2901644072685319,0.19474298984205599,1350.347891564816,0.3267955004326507,0.19945197577156043,0.01980306441772297,31.0,23.0
ALL,0.1,6443,0.307620673599255,0.274231657744167,1766.8745708456681,0.3462672668011796,0.20813285736458173,0.10790868136046847,30.0,18.0
ALL,0.12,5970,0.32261306532663314,0.3418757732925972,2040.9983665568054,0.36231155778894475,0.2155778894472362,0.18537485862996989,29.0,15.0
ALL,0.14,5528,0.3390014471780029,0.4105541682887764,2269.5434423003558,0.38006512301013023,0.22431259044862517,0.2631228756118438,28.0,12.0
ALL,0.16,5098,0.35249117300902316,0.472562233695227,2409.122267378267,0.39446841898783835,0.22950176539819536,0.3370152695185249,27.0,10.0
ALL,0.18,4670,0.36809421841541756,0.5461500614494418,2550.520786968893,0.4109207708779443,0.2336188436830835,0.42639595416921516,26.0,8.0
ALL,0.2,4272,0.386001872659176,0.6210219949588197,2653.005962464078,0.42837078651685395,0.23876404494382023,0.5166684630657191,25.0,2.0
ALL,0.22,3920,0.39566326530612245,0.6705634279874222,2628.608637710695,0.4377551020408163,0.23698979591836736,0.5764829802781306,24.0,5.0
ALL,0.24,3579,0.41044984632578935,0.7374633753060452,2639.3814202203357,0.45375803297010336,0.2391729533389215,0.6627796087086532,23.0,4.0
ALL,0.26,3280,0.42560975609756097,0.8072027305526761,2647.6249562127778,0.47012195121951217,0.24390243902439024,0.7483488092565613,22.0,3.0
ALL,0.28,2990,0.4431438127090301,0.8875886053788564,2653.8899300827807,0.4882943143812709,0.24648829431438127,0.8448874024774407,21.0,1.0
ALL,0.3,2723,0.45721630554535436,0.9529909840657413,2594.994449611014,0.5027543150936468,0.24715387440323172,0.9228920391589363,20.0,6.0
ALL,0.32,2480,0.4737903225806452,1.0305352870505666,2555.727511885405,0.5189516129032258,0.24919354838709679,1.022902935810702,19.0,7.0
ALL,0.34,2206,0.48640072529465095,1.092704328692421,2410.5057490954805,0.5353581142339076,0.25385312783318226,1.1127926180630012,18.0,9.0
