scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
ALL,0.0,8149,0.25377346913731746,0.03616152560975594,294.68027219390115,0.2869063688796171,0.1794085163823782,-0.14745045392081418,33.0,33.0
ALL,0.02,8082,0.2556297946052957,0.05273107991190089,426.172587847983,0.28903736698836924,0.18040089086859687,-0.1289057193240338,32.0,32.0
ALL,0.04,7936,0.2595766129032258,0.07268483223278213,576.826828599359,0.2933467741935484,0.18283770161290322,-0.10712382210994613,31.0,30.0
ALL,0.06,7648,0.26765167364016734,0.10810313161891716,826.7727506214784,0.30256276150627615,0.1884152719665272,-0.0705042395309713,30.0,26.0
ALL,0.08,7283,0.2791432102155705,0.15727230037305043,1145.4141636169263,0.31511739667719346,0.19538651654537964,-0.0185442277612497,29.0,22.0
ALL,0.1,6848,0.2910338785046729,0.20625770495501633,1412.4527635319519,0.3282710280373832,0.2004964953271028,0.032376989835787726,28.0,19.0
ALL,0.12,6376,0.30473651191969886,0.2662317515447219,1697.4936478491468,0.3434755332496863,0.20796737766624843,0.09861361888790313,27.0,15.0
ALL,0.14,5872,0.3201634877384196,0.33568980416220895,1971.170530040491,0.36086512261580383,0.21576975476839236,0.17801404089442327,26.0,12.0
ALL,0.16,5376,0.33872767857142855,0.4124641878449573,2217.4074738544905,0.38039434523809523,0.22563244047619047,0.2650638118911048,25.0,9.0
ALL,0.18,4880,0.35512295081967216,0.48836307547078284,2383.2118082974202,0.39918032786885244,0.2331967213114754,0.3596408725513057,24.0,7.0
ALL,0.2,4423,0.3701107845353832,0.5589179894795144,2472.094267467892,0.4175898711281935,0.23965634184942347,0.44457190004187824,23.0,5.0
ALL,0.22,3986,0.38610135474159557,0.6287945911001902,2506.3752401253582,0.43452082288008026,0.24560963371801303,0.5337447616973188,22.0,4.0
ALL,0.24,3612,0.4019933554817276,0.700114411873418,2528.813255686786,0.45044296788482835,0.2513842746400886,0.6197220421755809,21.0,1.0
ALL,0.26,3242,0.41949413942011105,0.7773924548308743,2520.3063385616942,0.4663787785317705,0.2529302899444787,0.7166296566473279,20.0,3.0
ALL,0.28,2923,0.43824837495723573,0.8624013265905253,2520.7990776241054,0.4854601436879918,0.25590147109134453,0.8321674462701428,19.0,2.0
ALL,0.3,2629,0.45150247242297453,0.9208693316552103,2420.965472921548,0.499049068086725,0.2605553442373526,0.9038070558205165,18.0,6.0
ALL,0.32,2334,0.4661525278491859,0.987098122974863,2303.88701902333,0.5149957155098543,0.26692373607540704,0.9913518751967246,17.0,8.0
ALL,0.34,2089,0.4810914313068454,1.048472712959055,2190.259497371466,0.530397319291527,0.2752513164193394,1.0729771048825936,16.0,10.0
ALL,0.36,1840,0.49782608695652175,1.1205171246406522,2061.7515093388,0.5483695652173913,0.28206521739130436,1.1794339886294556,15.0,11.0
ALL,0.38,1626,0.5153751537515375,1.2075171754168812,1963.422927227849,0.5701107011070111,0.2902829028290283,1.3044143810487976,14.0,13.0
ALL,0.4,1426,0.5301542776998598,1.2841179954814732,1831.152261556581,0.5848527349228612,0.29102384291725103,1.416525921425271,13.0,14.0
ALL,0.42,1262,0.5396196513470681,1.3275238452196214,1675.3350926671621,0.5950871632329635,0.29397781299524567,1.4879950627355265,12.0,16.0
ALL,0.44,1111,0.5544554455445545,1.392125749418491,1546.6517076039436,0.6093609360936093,0.2952295229522952,1.5602404807993038,11.0,17.0
ALL,0.46,980,0.5673469387755102,1.459814127932316,1430.6178453736698,0.6255102040816326,0.29897959183673467,1.6667948504961243,10.0,18.0
ALL,0.48,868,0.576036866359447,1.517358905899472,1317.0675303207418,0.6370967741935484,0.2960829493087558,1.7480215562586285,9.0,20.0
ALL,0.5,747,0.607764390896921,1.6595473062408765,1239.6818377619347,0.6680053547523427,0.2971887550200803,1.9268595044520371,8.0,21.0
ALL,0.52,647,0.6290571870170015,1.7598579874894555,1138.6281179056778,0.6862442040185471,0.29520865533230295,2.055558492802297,7.0,23.0
ALL,0.54,552,0.644927536231884,1.8147731432678669,1001.7547750838625,0.6956521739130435,0.29528985507246375,2.1364451373245084,6.0,24.0
ALL,0.56,480,0.64375,1.8226705725624588,874.8818748299802,0.6916666666666667,0.28958333333333336,2.1417761861768607,5.0,25.0
ALL,0.58,407,0.6584766584766585,1.903578092846028,774.7562837883333,0.7027027027027027,0.2727272727272727,2.2176106631638746,4.0,27.0
ALL,0.6,343,0.685131195335277,2.0523327979182797,703.95014968597,0.7259475218658892,0.26239067055393583,2.3929362710109787,3.0,28.0
ALL,0.62,274,0.7262773722627737,2.2097023776776137,605.4584514836662,0.7700729927007299,0.291970802919708,2.6352565010985893,2.0,29.0
ALL,0.64,224,0.7455357142857143,2.296934329816161,514.51328987882,0.7901785714285714,0.29017857142857145,2.7488958867117677,1.0,31.0
RISK_ON_1,0.0,2436,0.3230706075533662,0.3303128748112824,804.642163040284,0.35385878489326766,0.20402298850574713,0.15799539063517415,31.0,24.0
RISK_ON_1,0.02,2428,0.3241350906095552,0.3347676111983703,812.8157599896431,0.35502471169686983,0.20469522240527183,0.1628827858057803,30.0,23.0
