bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.1,1706,0.0626595221695554,-0.8629509370760651,0.01
1,0.1,0.2,2171,0.14833762396861697,-0.40816738443961775,0.01
2,0.2,0.30000000000000004,1549,0.24700005299383804,0.03745094438545161,0.022808893621554208
3,0.30000000000000004,0.4,1128,0.346636779994887,0.4305137074806088,0.15724339725548225
4,0.4,0.5,683,0.4461461795847191,0.8896113777594445,0.31426302164683295
5,0.5,0.6000000000000001,480,0.5441140843214077,1.2720598091887123,0.44506723377801616
6,0.6000000000000001,0.7000000000000001,265,0.6464091885688519,1.8024703748695603,0.6264771454114754
7,0.7000000000000001,0.8,129,0.7462967585379833,2.2975395344899807,0.7957996633064733
8,0.8,0.9,35,0.8320965307775043,3.1504620293650505,1.0
9,0.9,1.0,3,0.9323105703803214,2.292762611728873,0.01
