bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.1,1301,0.06494848869573583,-0.8591640978770566,0.01
1,0.1,0.2,2425,0.1498962809235594,-0.4369655686333775,0.01
2,0.2,0.30000000000000004,1794,0.24607702579378013,0.028499885477337887,0.021710868891839416
3,0.30000000000000004,0.4,1203,0.34628307806868125,0.4902852962302303,0.21146280336159418
4,0.4,0.5,679,0.4461374780285265,0.8710904621423364,0.3679391995519549
5,0.5,0.6000000000000001,404,0.5452774318218926,1.326068534841497,0.5548939352921543
6,0.6000000000000001,0.7000000000000001,216,0.6406504192962673,1.830530549731877,0.7621820846425076
7,0.7000000000000001,0.8,86,0.7470792327942656,2.5651658309060084,1.0
8,0.8,0.9,29,0.8449631883390328,2.0455818086153723,0.8505486536875728
9,0.9,1.0,12,0.9597210080893981,2.3857847530101775,0.01
