bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,3452,0.0175893971881841,0.09994206257242179,raw
1,0.05,0.1,1114,0.07236031667742648,0.22621184919210055,raw
2,0.1,0.15000000000000002,648,0.12406055820247058,0.2515432098765432,raw
3,0.15000000000000002,0.2,461,0.17346849812200144,0.2928416485900217,raw
4,0.2,0.25,413,0.2234590141743487,0.3728813559322034,raw
5,0.25,0.30000000000000004,283,0.2728967586543209,0.31095406360424027,raw
6,0.30000000000000004,0.35000000000000003,264,0.3246691140889512,0.4356060606060606,raw
7,0.35000000000000003,0.4,197,0.3750988777211837,0.41116751269035534,raw
8,0.4,0.45,163,0.42463537189671696,0.48466257668711654,raw
9,0.45,0.5,154,0.4739271258248047,0.42207792207792205,raw
10,0.5,0.55,150,0.525293889841988,0.4533333333333333,raw
11,0.55,0.6000000000000001,135,0.5723404643632054,0.5037037037037037,raw
12,0.6000000000000001,0.65,146,0.6248867930581716,0.5068493150684932,raw
13,0.65,0.7000000000000001,106,0.6751489656243167,0.6037735849056604,raw
14,0.7000000000000001,0.75,88,0.7269340018303211,0.5909090909090909,raw
15,0.75,0.8,99,0.7743367786201348,0.6363636363636364,raw
16,0.8,0.8500000000000001,87,0.8239772545921645,0.6781609195402298,raw
17,0.8500000000000001,0.9,80,0.8709896949517619,0.6375,raw
18,0.9,0.9500000000000001,73,0.9286336221770665,0.8356164383561644,raw
19,0.9500000000000001,1.0,36,0.9677951666674729,0.8611111111111112,raw
0,0.0,0.05,1075,0.03535282589667435,0.03906976744186046,cal_isotonic
1,0.05,0.1,651,0.07266561522471855,0.0706605222734255,cal_isotonic
2,0.1,0.15000000000000002,583,0.11809489922255897,0.10806174957118353,cal_isotonic
3,0.15000000000000002,0.2,570,0.16204118301370005,0.15087719298245614,cal_isotonic
4,0.2,0.25,1010,0.21289339537004634,0.18514851485148515,cal_isotonic
5,0.25,0.30000000000000004,1823,0.2746174780994297,0.2654964344487109,cal_isotonic
6,0.30000000000000004,0.35000000000000003,4,0.33047329683139937,0.5,cal_isotonic
7,0.35000000000000003,0.4,0,,,cal_isotonic
8,0.4,0.45,816,0.411564996828594,0.3553921568627451,cal_isotonic
9,0.45,0.5,327,0.47754380563082616,0.43425076452599387,cal_isotonic
10,0.5,0.55,809,0.512870319168328,0.48825710754017304,cal_isotonic
11,0.55,0.6000000000000001,1,0.5775658594065366,1.0,cal_isotonic
12,0.6000000000000001,0.65,56,0.620798321000971,0.625,cal_isotonic
13,0.65,0.7000000000000001,67,0.6578525717755174,0.5373134328358209,cal_isotonic
14,0.7000000000000001,0.75,59,0.7407407407407406,0.6610169491525424,cal_isotonic
15,0.75,0.8,178,0.7814895680835479,0.6573033707865169,cal_isotonic
16,0.8,0.8500000000000001,24,0.8000000000000002,0.7916666666666666,cal_isotonic
17,0.8500000000000001,0.9,82,0.8888888888888891,0.8780487804878049,cal_isotonic
18,0.9,0.9500000000000001,2,0.930629448822595,1.0,cal_isotonic
19,0.9500000000000001,1.0,12,0.999999999999,0.8333333333333334,cal_isotonic
