bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,117,0.026643781886817163,0.03418803418803419,raw
1,0.05,0.1,275,0.07826381707685752,0.04,raw
2,0.1,0.15000000000000002,381,0.12610722906840247,0.03412073490813648,raw
3,0.15000000000000002,0.2,509,0.17476239511689684,0.08840864440078586,raw
4,0.2,0.25,560,0.22684638349966849,0.10714285714285714,raw
5,0.25,0.30000000000000004,592,0.27483583621789315,0.125,raw
6,0.30000000000000004,0.35000000000000003,640,0.3248675519817473,0.1484375,raw
7,0.35000000000000003,0.4,642,0.3749882307075434,0.19158878504672897,raw
8,0.4,0.45,605,0.4252818468432232,0.23471074380165288,raw
9,0.45,0.5,574,0.47527826770746184,0.2421602787456446,raw
10,0.5,0.55,525,0.5244785371886139,0.2819047619047619,raw
11,0.55,0.6000000000000001,508,0.57457743104134,0.31299212598425197,raw
12,0.6000000000000001,0.65,481,0.6240123657439728,0.3659043659043659,raw
13,0.65,0.7000000000000001,440,0.6739434682109275,0.4,raw
14,0.7000000000000001,0.75,373,0.7248636423866364,0.4745308310991957,raw
15,0.75,0.8,317,0.7755243891508963,0.4384858044164038,raw
16,0.8,0.8500000000000001,263,0.823936521112973,0.5703422053231939,raw
17,0.8500000000000001,0.9,200,0.8709533191612868,0.635,raw
18,0.9,0.9500000000000001,106,0.9223981816028564,0.7641509433962265,raw
19,0.9500000000000001,1.0,41,0.9720152170706692,0.7073170731707317,raw
0,0.0,0.05,479,0.0317309506815037,0.03966597077244259,cal_sigmoid
1,0.05,0.1,1041,0.07592410254284122,0.07492795389048991,cal_sigmoid
2,0.1,0.15000000000000002,1207,0.12465514138517166,0.12096106048053024,cal_sigmoid
3,0.15000000000000002,0.2,1116,0.1741596221341148,0.19086021505376344,cal_sigmoid
4,0.2,0.25,913,0.22394687535378138,0.2343921139101862,cal_sigmoid
5,0.25,0.30000000000000004,730,0.27358062372952013,0.27808219178082194,cal_sigmoid
6,0.30000000000000004,0.35000000000000003,615,0.324122130160809,0.3333333333333333,cal_sigmoid
7,0.35000000000000003,0.4,499,0.374073165143732,0.3667334669338677,cal_sigmoid
8,0.4,0.45,385,0.4234958486171912,0.44935064935064933,cal_sigmoid
9,0.45,0.5,290,0.47325904763222887,0.4482758620689655,cal_sigmoid
10,0.5,0.55,245,0.5241283963846728,0.42857142857142855,cal_sigmoid
11,0.55,0.6000000000000001,192,0.5732766613527357,0.6041666666666666,cal_sigmoid
12,0.6000000000000001,0.65,160,0.6257397674051562,0.5125,cal_sigmoid
13,0.65,0.7000000000000001,94,0.6726669497561149,0.7021276595744681,cal_sigmoid
14,0.7000000000000001,0.75,72,0.7231218106974213,0.6944444444444444,cal_sigmoid
15,0.75,0.8,41,0.7718030901985513,0.8536585365853658,cal_sigmoid
16,0.8,0.8500000000000001,33,0.8216189505328753,0.696969696969697,cal_sigmoid
17,0.8500000000000001,0.9,17,0.8660819682629256,0.6470588235294118,cal_sigmoid
18,0.9,0.9500000000000001,10,0.9156764650807705,0.9,cal_sigmoid
19,0.9500000000000001,1.0,10,0.9793749337634312,0.7,cal_sigmoid
