scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
ALL,0.0,8149,0.25377346913731746,0.03616152560975594,294.68027219390115,0.2869063688796171,0.1794085163823782,-0.14745045392081418,35.0,35.0
ALL,0.02,8054,0.256394338217035,0.058026143859660435,467.34256264570513,0.28991805314129626,0.1809038986838838,-0.12302162403427708,34.0,34.0
ALL,0.04,7822,0.26284837637432884,0.08708842251617475,681.2056409215189,0.29711071337253897,0.18486320634108924,-0.09210083648073504,33.0,30.0
ALL,0.06,7482,0.2731889869018979,0.13206908916902982,988.140925162681,0.3086073242448543,0.19165998396150763,-0.0451467397250989,32.0,26.0
ALL,0.08,7062,0.2854715378079864,0.18409882261828076,1300.1058853302986,0.3222883035967148,0.19909374114981593,0.00910211523552635,31.0,22.0
ALL,0.1,6629,0.29732991401418013,0.23434269090780568,1553.457698027844,0.33504299290994116,0.20349977372152664,0.06394020460514417,30.0,18.0
ALL,0.12,6126,0.31162259222984,0.298442521020186,1828.2588837696594,0.35096310806398956,0.21025138752856676,0.1355026422933063,29.0,15.0
ALL,0.14,5657,0.32826586529962876,0.36997132652477877,2092.9277941506734,0.36998409050733605,0.22061163160685876,0.21681202253293394,28.0,12.0
ALL,0.16,5182,0.34426862215360865,0.43839275173809017,2271.7512395067833,0.38691624855268236,0.2280972597452721,0.29756481233016063,27.0,9.0
ALL,0.18,4733,0.3600253538981618,0.5098728689430304,2413.228288707363,0.40481724065075003,0.23494612296640607,0.38387617313077177,26.0,7.0
ALL,0.2,4306,0.3743613562470971,0.5766991090699983,2483.266363655413,0.42196934509986067,0.24129122155132374,0.46787704607368663,25.0,5.0
ALL,0.22,3911,0.3901815392482741,0.6448128846735995,2521.8631919584477,0.4382510866785988,0.24699565328560472,0.5514017451578906,24.0,4.0
ALL,0.24,3549,0.4051845590307129,0.7129527136617936,2530.2691807857054,0.4536489151873767,0.25218371372217524,0.6357037194994067,23.0,1.0
ALL,0.26,3223,0.42103630158237665,0.7846465086901063,2528.915697508213,0.46819733167856037,0.25318026683214395,0.725505849338267,22.0,2.0
ALL,0.28,2934,0.4379686434901159,0.8616373274752557,2528.0439188124,0.48500340831629174,0.2559645535105658,0.8322466057589133,21.0,3.0
ALL,0.3,2663,0.44874202027788207,0.9107342664517152,2425.2853515609177,0.49568156214795345,0.2583552384528727,0.8912699941319049,20.0,6.0
ALL,0.32,2398,0.46246872393661387,0.9694411479537963,2324.7198727932036,0.5112593828190158,0.2652210175145955,0.9668835456433316,19.0,8.0
ALL,0.34,2169,0.4762563393268787,1.026549456733172,2226.5857716542505,0.5251267865375749,0.2729368372521899,1.0429357227612033,18.0,10.0
ALL,0.36,1934,0.4937952430196484,1.1016350149241023,2130.562118863214,0.5449844881075491,0.281282316442606,1.1485901260880362,17.0,11.0
ALL,0.38,1742,0.505166475315729,1.1581383030717944,2017.4769239510658,0.5585533869115958,0.2864523536165327,1.233417115043968,16.0,13.0
ALL,0.4,1549,0.5209812782440284,1.2330561722449855,1910.0040108074827,0.5739186571981924,0.289864428663654,1.3417243455571808,15.0,14.0
ALL,0.42,1374,0.5349344978165939,1.3047898513874427,1792.7812558063463,0.5895196506550219,0.2918486171761281,1.4451044681618614,14.0,16.0
ALL,0.44,1232,0.538961038961039,1.3338793986217528,1643.3394191019993,0.5941558441558441,0.2905844155844156,1.491100233351668,13.0,17.0
ALL,0.46,1092,0.5558608058608059,1.4047700994256247,1534.0089485727822,0.6117216117216118,0.2957875457875458,1.5812899887622822,12.0,19.0
ALL,0.48,980,0.5673469387755102,1.459814127932316,1430.6178453736698,0.6255102040816326,0.29897959183673467,1.6667948504961243,11.0,20.0
ALL,0.5,874,0.5766590389016019,1.5168128879863212,1325.6944641000448,0.6372997711670481,0.2963386727688787,1.7462548182286417,10.0,21.0
ALL,0.52,770,0.6012987012987013,1.6326696044189777,1257.1555954026128,0.6649350649350649,0.3,1.8966031440517963,9.0,23.0
ALL,0.54,676,0.6227810650887574,1.725757372686158,1166.6119839358428,0.6804733727810651,0.2943786982248521,2.003744796495571,8.0,24.0
ALL,0.56,585,0.6376068376068376,1.7869772720489354,1045.3817041486273,0.6888888888888889,0.2923076923076923,2.090429739928602,7.0,25.0
ALL,0.58,506,0.6462450592885376,1.8316080005064883,926.7936482562831,0.6956521739130435,0.29051383399209485,2.1499921132363564,6.0,27.0
