column,total_rows,null_count,nonnull_count,null_rate
trade_id,11271,0,11271,0.0
funding_abs,11271,0,11271,0.0
oi_price_div_1h,11271,0,11271,0.0
oi_chg_norm_vol_1h,11271,0,11271,0.0
oi_z_7d,11271,0,11271,0.0
oi_pct_1d,11271,0,11271,0.0
oi_pct_4h,11271,0,11271,0.0
oi_pct_1h,11271,0,11271,0.0
oi_notional_est,11271,0,11271,0.0
oi_level,11271,0,11271,0.0
eth_macd_both_pos_4h,11271,0,11271,0.0
eth_macd_hist_slope_1h,11271,0,11271,0.0
eth_macd_hist_slope_4h,11271,0,11271,0.0
eth_macd_hist_4h,11271,0,11271,0.0
eth_macd_signal_4h,11271,0,11271,0.0
eth_macd_line_4h,11271,0,11271,0.0
prebreak_congestion,11271,0,11271,0.0
gap_from_1d_ma,11271,0,11271,0.0
asset_vol_4h,11271,0,11271,0.0
funding_rate,11271,0,11271,0.0
funding_z_7d,11271,0,11271,0.0
asset_macd_slope_4h,11271,0,11271,0.0
funding_rollsum_3d,11271,0,11271,0.0
WIN,11271,0,11271,0.0
recent_winrate_ewm_20,11271,0,11271,0.0
recent_winrate_50,11271,0,11271,0.0
recent_winrate_20,11271,0,11271,0.0
eth_trend_slope,11271,0,11271,0.0
eth_vol_regime_level,11271,0,11271,0.0
eth_oi_z_7d,11271,0,11271,0.0
eth_funding_rate,11271,0,11271,0.0
btc_trend_slope,11271,0,11271,0.0
btc_vol_regime_level,11271,0,11271,0.0
btc_oi_z_7d,11271,0,11271,0.0
btc_funding_rate,11271,0,11271,0.0
est_leverage,11271,0,11271,0.0
crowd_side,11271,0,11271,0.0
crowded_short,11271,0,11271,0.0
crowded_long,11271,0,11271,0.0
funding_oi_div,11271,0,11271,0.0
asset_vol_1h,11271,0,11271,0.0
asset_macd_hist_4h,11271,0,11271,0.0
symbol,11271,0,11271,0.0
vol_prob_low_1d,11271,0,11271,0.0
markov_state_4h,11271,0,11271,0.0
mfe_over_atr,11271,0,11271,0.0
mae_over_atr,11271,0,11271,0.0
pnl_R,11271,0,11271,0.0
pnl,11271,0,11271,0.0
fees,11271,0,11271,0.0
rs_pct,11271,0,11271,0.0
regime_up,11271,0,11271,0.0
atr_at_entry,11271,0,11271,0.0
exit_reason,11271,0,11271,0.0
tp,11271,0,11271,0.0
sl,11271,0,11271,0.0
qty,11271,0,11271,0.0
exit,11271,0,11271,0.0
entry,11271,0,11271,0.0
exit_ts,11271,0,11271,0.0
entry_ts,11271,0,11271,0.0
markov_prob_up_4h,11271,0,11271,0.0
regime_code_1d,11271,0,11271,0.0
asset_macd_signal_4h,11271,0,11271,0.0
atr_1h,11271,0,11271,0.0
asset_macd_line_4h,11271,0,11271,0.0
asset_macd_slope_1h,11271,0,11271,0.0
asset_macd_hist_1h,11271,0,11271,0.0
asset_macd_signal_1h,11271,0,11271,0.0
asset_macd_line_1h,11271,0,11271,0.0
asset_rsi_4h,11271,0,11271,0.0
asset_rsi_15m,11271,0,11271,0.0
don_dist_atr,11271,0,11271,0.0
don_break_level,11271,0,11271,0.0
rv_3d,11271,0,11271,0.0
prior_1d_ret,11271,0,11271,0.0
consolidation_range_atr,11271,0,11271,0.0
days_since_prev_break,11271,0,11271,0.0
atr_pct,11271,0,11271,0.0
vol_mult,11271,0,11271,0.0
adx_1h,11271,0,11271,0.0
rsi_1h,11271,0,11271,0.0
EXIT_FINAL,11271,0,11271,0.0
