set_col,code,count
S1_regime_code_1d,3,5587
S1_regime_code_1d,1,2443
S1_regime_code_1d,2,2129
S1_regime_code_1d,0,1112
S2_markov_x_vol1d,0,6970
S2_markov_x_vol1d,1,1997
S2_markov_x_vol1d,3,1244
S2_markov_x_vol1d,2,1060
S3_funding_x_oi,7,2748
S3_funding_x_oi,6,2734
S3_funding_x_oi,8,2409
S3_funding_x_oi,3,800
S3_funding_x_oi,4,743
S3_funding_x_oi,2,710
S3_funding_x_oi,5,667
S3_funding_x_oi,1,277
S3_funding_x_oi,0,164
S3_funding_x_oi,<NA>,19
S4_crowd_x_trend1d,3,7636
S4_crowd_x_trend1d,2,3555
S4_crowd_x_trend1d,1,37
S4_crowd_x_trend1d,5,24
S4_crowd_x_trend1d,<NA>,19
S5_btcRisk_x_regimeUp,5,3524
S5_btcRisk_x_regimeUp,4,2170
S5_btcRisk_x_regimeUp,7,1837
S5_btcRisk_x_regimeUp,6,1314
S5_btcRisk_x_regimeUp,0,856
S5_btcRisk_x_regimeUp,1,801
S5_btcRisk_x_regimeUp,3,462
S5_btcRisk_x_regimeUp,2,307
S6_fresh_x_compress,2,2721
S6_fresh_x_compress,1,2322
S6_fresh_x_compress,0,2207
S6_fresh_x_compress,6,1473
S6_fresh_x_compress,7,1366
S6_fresh_x_compress,8,1182
