regime_col,state,count
btc_risk_regime_code,2,5694
btc_risk_regime_code,3,3151
btc_risk_regime_code,0,1657
btc_risk_regime_code,1,769
btc_trend_up,1,8845
btc_trend_up,0,2426
btc_vol_high,0,7351
btc_vol_high,1,3920
compression_code,2,3903
compression_code,1,3688
compression_code,0,3680
crowd_side,0,11191
crowd_side,-1,37
crowd_side,1,24
crowd_side,<NA>,19
freshness_code,0,7250
freshness_code,2,4021
funding_regime_code,1,7895
funding_regime_code,0,2222
funding_regime_code,-1,1154
markov_state_4h,0,8967
markov_state_4h,1,2304
oi_regime_code,1,3786
oi_regime_code,0,3768
oi_regime_code,-1,3698
oi_regime_code,<NA>,19
regime_code_1d,3,5587
regime_code_1d,1,2443
regime_code_1d,2,2129
regime_code_1d,0,1112
regime_up,1,6624
regime_up,0,4647
risk_on,0,7747
risk_on,1,3524
risk_on_1,0,7747
risk_on_1,1,3524
trend_regime_code_1d,1,7716
trend_regime_code_1d,0,3555
vol_regime_code_1d,0,8030
vol_regime_code_1d,1,3241
volimpulse_code,2,3884
volimpulse_code,0,3714
volimpulse_code,1,3673
