feature,n_sample,n_unique,min,max,status,reason
atr_at_entry,10000,10000,3.98260726797162e-06,1459.78930664063,OK,
rs_pct,10000,5419,30.0,100.0,OK,
markov_prob_up_4h,10000,2161,0.0554244462056959,0.928079788246907,OK,
vol_prob_low_1d,10000,817,5.705084682290331e-31,0.916325454728401,OK,
atr_1h,10000,10000,3.98260726797162e-06,1459.78930664063,OK,
rsi_1h,10000,9990,22.4498462677002,97.7658920288086,OK,
adx_1h,10000,9998,8.90739250183105,93.8801193237305,OK,
vol_mult,10000,9999,2.0,17633983.0,OK,
atr_pct,10000,9997,0.0001021919597405,0.254733085632324,OK,
days_since_prev_break,10000,288,0.0,1.0,OK,duplicate_thresholds(n_unique_thr=5)
consolidation_range_atr,10000,10000,0.0,8.6808167999504,OK,
prior_1d_ret,10000,9938,-0.381596386432648,5.73288583755493,OK,
rv_3d,10000,10000,3.28588302144861e-05,0.0393800354690557,OK,
don_break_level,10000,7283,0.0002206000062869,122421.0,OK,
don_dist_atr,10000,10000,0.0340700893295386,23.0106528524186,OK,
asset_rsi_15m,10000,9995,15.2127246856689,97.0193557739258,OK,
asset_rsi_4h,10000,9979,39.2274017333984,99.0886077880859,OK,
asset_macd_line_1h,10000,10000,-146.363739013672,2158.3154296875,OK,
asset_macd_signal_1h,10000,10000,-51.0412940979004,1671.41711425781,OK,
asset_macd_hist_1h,10000,10000,-311.683227539063,486.898193359375,OK,
asset_macd_slope_1h,10000,10000,-171.320907592773,198.441802978516,OK,
asset_macd_line_4h,10000,10000,5.60296302865027e-06,3155.0849609375,OK,
asset_macd_signal_4h,10000,9999,-0.530776500701904,3070.62109375,OK,
asset_macd_hist_4h,10000,9999,-108.599319458008,815.138427734375,OK,
asset_macd_slope_4h,10000,9999,-336.001403808594,497.029998779297,OK,
asset_vol_1h,10000,9996,0.0002704942016862,1.11587059497833,OK,
asset_vol_4h,10000,9997,0.0004073128802701,1.42446482181549,OK,
gap_from_1d_ma,10000,10000,-4.31410980224609,8.83803272247314,OK,
prebreak_congestion,10000,9998,3.55743140971754e-05,0.0777510404586792,OK,
eth_macd_line_4h,10000,2150,-193.566665649414,199.302764892578,OK,
eth_macd_signal_4h,10000,2152,-148.696273803711,171.672378540039,OK,
eth_macd_hist_4h,10000,2166,-70.370719909668,70.5586471557617,OK,
eth_macd_hist_slope_4h,10000,2164,-22.0224380493164,27.0708103179932,OK,
eth_macd_hist_slope_1h,10000,3016,-9.86777877807617,18.8538341522217,OK,
funding_rate,10000,4007,-0.04,0.0141864996403455,OK,duplicate_thresholds(n_unique_thr=6)
funding_abs,10000,3999,0.0,0.04,OK,duplicate_thresholds(n_unique_thr=6)
funding_z_7d,10000,7908,-44.8887512525576,44.8887499807587,OK,
funding_rollsum_3d,10000,7052,-17.7533782,1.88010878,OK,duplicate_thresholds(n_unique_thr=8)
btc_funding_rate,10000,892,-0.00015919,0.00112788,OK,duplicate_thresholds(n_unique_thr=6)
btc_oi_z_7d,10000,4550,-6.1004228591919,4.50538921356201,OK,
btc_vol_regime_level,10000,823,0.408091336488724,1.35567402839661,OK,
btc_trend_slope,10000,814,-692.912048339844,789.595947265625,OK,
eth_funding_rate,10000,878,-0.0011771899880841,0.00097166,OK,duplicate_thresholds(n_unique_thr=5)
eth_oi_z_7d,10000,4586,-5.24619007110596,4.64613008499146,OK,
eth_vol_regime_level,10000,814,0.339587926864624,2.03620290756226,OK,
eth_trend_slope,10000,824,-48.8030967712402,43.4767036437988,OK,
eth_macd_both_pos_4h,10000,2,0.0,1.0,SKIP,too_few_unique_values(<20)
