feature,scope,n_months,mean_delta,std_delta,frac_pos
rs_pct,ALL,25,1.2776936181045482,0.6209378427713667,0.6857142857142857
asset_rsi_4h,ALL,35,1.18830558720225,0.6245325360998734,0.9714285714285714
eth_funding_rate,ALL,3,0.9092885263690004,1.1340750413521699,0.06060606060606061
btc_vol_regime_level,ALL,1,0.8955613914867432,,0.045454545454545456
btc_trend_slope,ALL,4,0.8658381177586493,1.7917565727953906,0.125
asset_vol_4h,ALL,35,0.6380297448230842,1.0130770864485878,0.7714285714285715
rsi_1h,ALL,35,0.6046282712865911,0.6820254554066211,0.8571428571428571
btc_funding_rate,ALL,3,0.5430325608044688,0.5726233300152158,0.0625
atr_pct,ALL,35,0.4917307110985467,1.0269395846607563,0.6
prior_1d_ret,ALL,35,0.4438462718883396,0.9236064812968608,0.6
rv_3d,ALL,35,0.42005728881516446,0.9220860978849357,0.6857142857142857
prebreak_congestion,ALL,35,0.402006854082213,0.9164105034453807,0.6571428571428571
asset_macd_hist_4h,ALL,35,0.38559195223094306,0.7282468894904125,0.8
asset_rsi_15m,ALL,35,0.3727265352215671,0.7837761897512445,0.6857142857142857
asset_vol_1h,ALL,35,0.3721107998868279,0.935404216453709,0.6571428571428571
funding_abs,ALL,35,0.3475250691300612,1.141035733583668,0.7142857142857143
asset_macd_line_4h,ALL,34,0.2989955019701669,0.6663223319663396,0.5714285714285714
asset_macd_slope_4h,ALL,35,0.273000765787829,0.6346885236441411,0.7142857142857143
asset_macd_signal_1h,ALL,33,0.2689892102485104,0.6601279566394205,0.5428571428571428
markov_prob_up_4h,ALL,17,0.2585421021668228,1.2901276815760643,0.34285714285714286
atr_at_entry,ALL,34,0.24605625728200362,0.6948888531236037,0.6
atr_1h,ALL,34,0.24549360249130442,0.7039452804912223,0.6
adx_1h,ALL,35,0.22671448374186892,0.7199202685767824,0.6571428571428571
gap_from_1d_ma,ALL,35,0.21912800491451523,0.6713874173527382,0.6285714285714286
asset_macd_signal_4h,ALL,34,0.19866813883970663,0.6977731304750796,0.5142857142857142
asset_macd_slope_1h,ALL,35,0.19628267481968656,0.5809160538367362,0.6285714285714286
eth_macd_line_4h,ALL,5,0.16083748227354047,0.725779113710494,0.08823529411764706
asset_macd_line_1h,ALL,35,0.15191592903791776,0.74133867175671,0.5714285714285714
asset_macd_hist_1h,ALL,35,0.09604944554072077,0.7503680808175008,0.6
eth_macd_hist_slope_1h,ALL,30,0.0487870323491379,0.6418589825741784,0.5757575757575758
consolidation_range_atr,ALL,35,-0.00503247621797234,0.7072068412801671,0.4
eth_macd_hist_slope_4h,ALL,26,-0.013490512900644461,1.08500996487951,0.3870967741935484
vol_mult,ALL,35,-0.04400972789474159,0.7956681481406352,0.4857142857142857
don_break_level,ALL,35,-0.04898117708195284,0.5908407595226796,0.45714285714285713
days_since_prev_break,ALL,35,-0.05219211596858834,0.5762953935072933,0.4
btc_oi_z_7d,ALL,31,-0.07664969755179826,0.8486779917223538,0.45714285714285713
eth_oi_z_7d,ALL,28,-0.09390941437195985,0.8435546638933344,0.34285714285714286
funding_rollsum_3d,ALL,19,-0.12669471996674492,0.6875886056487477,0.2
