model,fold,target,train_n,test_n,t_test_start,t_test_end,slice,state,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,SCOPE,RISK_ON_1,804.0,0.2300995024875622,0.7964546129328036,0.5530623112346252,0.6384513515637037,0.22393612000866653,0.6430348258706468,0.37799043062200954,0.8540540540540541,-0.13666108667685453,80.0,1.6158626433185481,0.7125,0.4125
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S1_regime_code_1d,1,561.0,0.24955436720142601,0.714065151001018,0.4876528539878937,0.7132119358211095,0.2539078381022687,0.5900178253119429,0.3538961038961039,0.7785714285714286,-0.015482515296226448,56.0,1.498514670841365,0.7142857142857143,0.4107142857142857
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S1_regime_code_1d,2,205.0,0.13658536585365855,0.8613801452784504,0.6204406561883135,0.4632539845616631,0.14792138584307216,0.824390243902439,0.42,0.75,-0.458649891740558,20.0,1.4228113823164796,0.65,0.4
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S1_regime_code_1d,3,1010.0,0.18811881188118812,0.7384017971758665,0.42058438962964995,0.5603674939579997,0.19101810596984414,0.7029702970297029,0.33433734939759036,0.5842105263157895,-0.3124868170803544,101.0,1.1094887566341902,0.5544554455445545,0.3069306930693069
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S2_markov_x_vol1d,0,1433.0,0.19818562456385205,0.7335098493484844,0.4258817081310686,0.5870408940742888,0.201820040647509,0.6845778087927425,0.3409090909090909,0.6338028169014085,-0.2404275545910517,143.0,1.3069004566072517,0.6223776223776224,0.34265734265734266
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S2_markov_x_vol1d,1,282.0,0.15602836879432624,0.8422459893048129,0.5569098344858129,0.4749271175484152,0.15351380045923949,0.8049645390070922,0.4246575342465753,0.7045454545454546,-0.3692253136641269,28.0,0.974110996520137,0.5714285714285714,0.35714285714285715
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S3_funding_x_oi,8,432.0,0.18287037037037038,0.7532900634704341,0.4626275607591938,0.5496868770998234,0.18611820875303184,0.7291666666666666,0.3582089552238806,0.6075949367088608,-0.2625510763281584,43.0,1.3612354793162162,0.6046511627906976,0.3488372093023256
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S3_funding_x_oi,7,457.0,0.22538293216630198,0.7335307991881959,0.4978971458673678,0.6061179284871211,0.20958923364167203,0.6717724288840262,0.37566137566137564,0.6893203883495146,-0.1516028127410092,45.0,1.4212338141114782,0.6444444444444445,0.28888888888888886
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S3_funding_x_oi,6,545.0,0.1834862385321101,0.7836179775280898,0.48727736165139207,0.5979002947090971,0.2053076688013426,0.689908256880734,0.3395348837209302,0.73,-0.31312325929385776,54.0,1.1034101305425463,0.6666666666666666,0.5
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S4_crowd_x_trend1d,2,664.0,0.24246987951807228,0.7218058110961559,0.4821408225434133,0.6885013841693515,0.2438183552855253,0.6114457831325302,0.35942028985507246,0.7701863354037267,-0.040065769715812986,66.0,1.477236592398789,0.696969696969697,0.3939393939393939
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S4_crowd_x_trend1d,3,1215.0,0.1794238683127572,0.7580079688607106,0.4471185251957102,0.5439820870228154,0.18374664290318715,0.7234567901234568,0.34554973821989526,0.6055045871559633,-0.3371480765909237,121.0,1.1612776203833293,0.5702479338842975,0.32231404958677684
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S5_btcRisk_x_regimeUp,5,804.0,0.2300995024875622,0.7964546129328036,0.5530623112346252,0.6384513515637037,0.22393612000866653,0.6430348258706468,0.37799043062200954,0.8540540540540541,-0.13666108667685453,80.0,1.6158626433185481,0.7125,0.4125
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S5_btcRisk_x_regimeUp,4,578.0,0.18685121107266436,0.7169818754925138,0.38330258310511545,0.5426591433284926,0.18191825307041662,0.745674740484429,0.3673469387755102,0.5,-0.24986767566869725,57.0,0.7344075318040452,0.49122807017543857,0.2807017543859649
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S5_btcRisk_x_regimeUp,0,209.0,0.20574162679425836,0.6789016531241244,0.39082393359571244,0.5860382591799198,0.20331241391821764,0.6411483253588517,0.2647058823529412,0.4186046511627907,-0.26309080417702935,20.0,1.5637849861352222,0.55,0.15
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S5_btcRisk_x_regimeUp,1,201.0,0.14427860696517414,0.78728949478749,0.4007242708077681,0.5432004591676777,0.1809611470364265,0.746268656716418,0.31666666666666665,0.6551724137931034,-0.47627105862109553,20.0,0.7616552643936038,0.5,0.3
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S6_fresh_x_compress,0,387.0,0.20155038759689922,0.7823417143805493,0.5008128168853158,0.5819763737258037,0.20103251158525617,0.6795865633074936,0.35443037974683544,0.717948717948718,-0.2221383574947529,38.0,1.4896257348268123,0.6842105263157895,0.42105263157894735
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S6_fresh_x_compress,2,434.0,0.19815668202764977,0.7368016573108795,0.38968217661551113,0.6019799385995949,0.20848184570873354,0.684331797235023,0.34545454545454546,0.6627906976744186,-0.24740088694635426,43.0,0.5061904921138567,0.4418604651162791,0.27906976744186046
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S6_fresh_x_compress,1,406.0,0.21674876847290642,0.7914165237278444,0.5653126540696463,0.5653551816622999,0.19364377845598046,0.6995073891625616,0.39634146341463417,0.7386363636363636,-0.1845519689599164,40.0,1.8757227488527106,0.7,0.25
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,S6_fresh_x_compress,7,225.0,0.17333333333333334,0.674937965260546,0.3431318491767065,0.6046060945898422,0.20958687320214592,0.6844444444444444,0.2948717948717949,0.5897435897435898,-0.38588344825328286,22.0,0.49380051495397675,0.36363636363636365,0.22727272727272727
