model,fold,target,train_n,test_n,t_test_start,t_test_end,slice,state,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,SCOPE,RISK_ON_1,852.0,0.3779342723004695,0.6552033282550099,0.5205942610914777,0.7832264417220786,0.2669478982290626,0.607981220657277,0.48654708520179374,0.6739130434782609,0.5426976580889751,85.0,1.717022669408932,0.6705882352941176,0.2235294117647059
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S1_regime_code_1d,1,184.0,0.2717391304347826,0.56044776119403,0.3239031956339795,0.7286258989239365,0.2260244771645442,0.7391304347826086,0.6666666666666666,0.08,-0.0928009733358344,18.0,0.5997076270094756,0.3888888888888889,0.1111111111111111
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S1_regime_code_1d,0,424.0,0.5070754716981132,0.7710693223545121,0.7276200442928525,0.5926488157711164,0.19527777218378053,0.7216981132075472,0.6844106463878327,0.8372093023255814,1.138562462392117,42.0,2.6280577753584105,0.8809523809523809,0.2857142857142857
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S2_markov_x_vol1d,3,393.0,0.35368956743002544,0.688551520987934,0.5208040546891541,0.8045865218909819,0.2758415767737204,0.5903307888040712,0.4566929133858268,0.8345323741007195,0.4034278048934725,39.0,1.8888446391615088,0.6923076923076923,0.20512820512820512
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S2_markov_x_vol1d,0,309.0,0.313915857605178,0.5572845749854114,0.36841509038124165,0.8272572421028591,0.27990716541587346,0.598705501618123,0.34831460674157305,0.31958762886597936,0.20169085077653026,30.0,0.5345951025439498,0.4666666666666667,0.23333333333333334
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S3_funding_x_oi,7,179.0,0.39106145251396646,0.5509829619921363,0.46807835268434317,0.9143850767860086,0.3213888193083588,0.4972067039106145,0.40384615384615385,0.6,0.5649006792073568,17.0,1.6232214974752048,0.5294117647058824,0.0
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S3_funding_x_oi,6,171.0,0.38596491228070173,0.5327561327561328,0.4072383686936769,0.8927916925466842,0.31330554500230123,0.5087719298245614,0.40625,0.5909090909090909,0.6107055945477501,17.0,0.12064309523226599,0.4117647058823529,0.29411764705882354
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S4_crowd_x_trend1d,3,244.0,0.2336065573770492,0.4382212215029553,0.28050211702521366,1.1555682994190701,0.4223497134711569,0.3114754098360656,0.1864406779661017,0.5789473684210527,-0.013511066674825075,24.0,0.7710788924502476,0.4166666666666667,0.08333333333333333
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S4_crowd_x_trend1d,2,608.0,0.43585526315789475,0.7590736564167445,0.6853756081994036,0.6337997751463119,0.20458269605953797,0.7269736842105263,0.6840148698884758,0.6943396226415094,0.7659130015797107,60.0,2.437347377594043,0.9,0.38333333333333336
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S5_btcRisk_x_regimeUp,5,852.0,0.3779342723004695,0.6552033282550099,0.5205942610914777,0.7832264417220786,0.2669478982290626,0.607981220657277,0.48654708520179374,0.6739130434782609,0.5426976580889751,85.0,1.717022669408932,0.6705882352941176,0.2235294117647059
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S6_fresh_x_compress,1,233.0,0.36909871244635195,0.6101882613510522,0.475451591335472,0.8642620860144814,0.2903680383898934,0.5708154506437768,0.4426229508196721,0.627906976744186,0.502877742939805,23.0,1.1816688471427437,0.5652173913043478,0.21739130434782608
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S6_fresh_x_compress,2,319.0,0.3573667711598746,0.6723577235772358,0.5148701478597542,0.7450599606744681,0.2542547985677571,0.6050156739811913,0.46153846153846156,0.631578947368421,0.4469788034719894,31.0,1.6005148761796437,0.6451612903225806,0.25806451612903225
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,SCOPE,RISK_ON_1,716.0,0.2849162011173184,0.6728898590686274,0.4441126299373969,0.5977051942351771,0.20206328120988268,0.6829608938547486,0.4427860696517413,0.4362745098039216,0.08729826173606374,71.0,1.2574804096351522,0.5633802816901409,0.2535211267605634
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S1_regime_code_1d,1,191.0,0.33507853403141363,0.5969488188976377,0.43944396778384126,0.6916633570718405,0.23554770354785692,0.6178010471204188,0.42105263157894735,0.375,0.3134426431180589,19.0,1.3981825324111756,0.631578947368421,0.3157894736842105
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S1_regime_code_1d,2,185.0,0.33513513513513515,0.7035142932074482,0.5145846139245345,0.620078362571096,0.21154479604303797,0.6702702702702703,0.5068493150684932,0.5967741935483871,0.33322601739903024,18.0,1.7175298178581162,0.6111111111111112,0.3333333333333333
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S1_regime_code_1d,3,340.0,0.22941176470588234,0.6977882168721864,0.41800065951357823,0.5327491788118015,0.17809385500198036,0.7264705882352941,0.39436619718309857,0.358974358974359,-0.17355530191573004,34.0,0.8136427004181728,0.47058823529411764,0.17647058823529413
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S2_markov_x_vol1d,0,476.0,0.2710084033613445,0.6640529008332774,0.4342838304375296,0.5855333411699235,0.19621597391016413,0.6974789915966386,0.43243243243243246,0.37209302325581395,0.02406613624531598,47.0,1.1137546718797653,0.5531914893617021,0.23404255319148937
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S4_crowd_x_trend1d,2,191.0,0.33507853403141363,0.5969488188976377,0.43944396778384126,0.6916633570718405,0.23554770354785692,0.6178010471204188,0.42105263157894735,0.375,0.3134426431180589,19.0,1.3981825324111756,0.631578947368421,0.3157894736842105
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S4_crowd_x_trend1d,3,509.0,0.2691552062868369,0.7124833215603172,0.47223407971612574,0.5585690634835905,0.18752987309655164,0.7131630648330058,0.46715328467153283,0.46715328467153283,0.007762846717477952,50.0,1.3474548089842866,0.58,0.26
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S5_btcRisk_x_regimeUp,5,716.0,0.2849162011173184,0.6728898590686274,0.4441126299373969,0.5977051942351771,0.20206328120988268,0.6829608938547486,0.4427860696517413,0.4362745098039216,0.08729826173606374,71.0,1.2574804096351522,0.5633802816901409,0.2535211267605634
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S6_fresh_x_compress,2,184.0,0.25,0.7728418399495903,0.5671478147412025,0.48330070677501735,0.15720471392020502,0.7445652173913043,0.4864864864864865,0.391304347826087,-0.040938775585536595,18.0,1.7565975129334366,0.6666666666666666,0.2222222222222222
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S6_fresh_x_compress,0,180.0,0.2777777777777778,0.6507692307692308,0.4021165076097117,0.619806612380479,0.2148653149725895,0.6555555555555556,0.4,0.48,0.008347106542928194,18.0,0.7877879243254227,0.4444444444444444,0.2222222222222222
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S6_fresh_x_compress,1,162.0,0.3333333333333333,0.6025377229080933,0.4908336949396246,0.6746581618931906,0.22850912598254702,0.6481481481481481,0.46153846153846156,0.3333333333333333,0.368655155141872,16.0,1.5537157205767929,0.625,0.3125
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,SCOPE,RISK_ON_1,852.0,0.3779342723004695,0.7838743700925817,0.6992805438364292,0.7841895786322864,0.21736991592705276,0.7206572769953051,0.78,0.36335403726708076,0.5426976580889751,85.0,2.9004298338891257,0.8705882352941177,0.18823529411764706
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S1_regime_code_1d,1,184.0,0.2717391304347826,0.7356716417910447,0.4939818300891048,0.7850094729242186,0.20725489419340248,0.7445652173913043,0.6,0.18,-0.0928009733358344,18.0,1.6400625224169763,0.6111111111111112,0.16666666666666666
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S1_regime_code_1d,0,424.0,0.5070754716981132,0.8137086903304774,0.8100360531193396,0.862192058244991,0.24837858054044162,0.6650943396226415,0.8288288288288288,0.42790697674418604,1.138562462392117,42.0,3.071662944181107,0.9047619047619048,0.19047619047619047
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S2_markov_x_vol1d,3,393.0,0.35368956743002544,0.8586925735002549,0.7854090961905814,0.613697906129064,0.1732845335556543,0.7684478371501272,0.8529411764705882,0.4172661870503597,0.4034278048934725,39.0,3.0135012120049005,0.9743589743589743,0.3333333333333333
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S2_markov_x_vol1d,0,309.0,0.313915857605178,0.6966543474032288,0.5336816159758304,0.8726937679451466,0.22829600840396908,0.7249190938511327,0.6875,0.2268041237113402,0.20169085077653026,30.0,2.134151094045547,0.7,0.16666666666666666
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S3_funding_x_oi,7,179.0,0.39106145251396646,0.7724770642201835,0.6991403441189532,0.8327447306543444,0.2403832101871277,0.6983240223463687,0.8636363636363636,0.2714285714285714,0.5649006792073568,17.0,3.004327058888386,0.8823529411764706,0.17647058823529413
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S3_funding_x_oi,6,171.0,0.38596491228070173,0.6847041847041847,0.5795490002487832,1.0036997611592375,0.266982957700109,0.6608187134502924,0.7,0.21212121212121213,0.6107055945477501,17.0,2.0805528145832874,0.7058823529411765,0.17647058823529413
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S4_crowd_x_trend1d,3,244.0,0.2336065573770492,0.7013791162397973,0.49615315355561435,0.6480260052490808,0.17111372823408053,0.7991803278688525,0.6666666666666666,0.2807017543859649,-0.013511066674825075,24.0,2.2170926444823316,0.7083333333333334,0.16666666666666666
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S4_crowd_x_trend1d,2,608.0,0.43585526315789475,0.8062489685901315,0.7583770073213576,0.8388341705821256,0.23593325440910085,0.6891447368421053,0.8015873015873016,0.38113207547169814,0.7659130015797107,60.0,2.966721996135956,0.8833333333333333,0.18333333333333332
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S5_btcRisk_x_regimeUp,5,852.0,0.3779342723004695,0.7838743700925817,0.6992805438364292,0.7841895786322864,0.21736991592705276,0.7206572769953051,0.78,0.36335403726708076,0.5426976580889751,85.0,2.9004298338891257,0.8705882352941177,0.18823529411764706
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S6_fresh_x_compress,1,233.0,0.36909871244635195,0.7604809365606708,0.667792607617798,0.8218990750599694,0.2265649807824617,0.7081545064377682,0.7647058823529411,0.3023255813953488,0.502877742939805,23.0,2.558458273185019,0.782608695652174,0.13043478260869565
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,S6_fresh_x_compress,2,319.0,0.3573667711598746,0.8050919982884039,0.7027280429339239,0.7844611465947265,0.20978941320562963,0.7429467084639498,0.7758620689655172,0.39473684210526316,0.4469788034719894,31.0,2.899704572155458,0.9032258064516129,0.2903225806451613
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,SCOPE,RISK_ON_1,716.0,0.2849162011173184,0.7128523284313726,0.4903347382639047,0.7984414043190532,0.21181345894185583,0.723463687150838,0.525,0.3088235294117647,0.08729826173606374,71.0,1.5950951812811247,0.6619718309859155,0.2535211267605634
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S1_regime_code_1d,1,191.0,0.33507853403141363,0.687253937007874,0.5789049386956069,0.809122871355331,0.2250111394508241,0.6910994764397905,0.5714285714285714,0.3125,0.3134426431180589,19.0,1.8643677483747378,0.7894736842105263,0.3684210526315789
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S1_regime_code_1d,2,185.0,0.33513513513513515,0.7492787831104117,0.5839225173039541,0.7957324411434973,0.22068743378291888,0.7027027027027027,0.6296296296296297,0.27419354838709675,0.33322601739903024,18.0,2.509050748268738,0.7777777777777778,0.1111111111111111
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S1_regime_code_1d,3,340.0,0.22941176470588234,0.6985711489528283,0.41121637605702854,0.7939149278000791,0.1995709815218275,0.7529411764705882,0.4482758620689655,0.3333333333333333,-0.17355530191573004,34.0,1.1063320640594707,0.5588235294117647,0.2647058823529412
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S2_markov_x_vol1d,0,476.0,0.2710084033613445,0.7302459620668856,0.5271529943814595,0.742777529057346,0.1966517896255237,0.7415966386554622,0.5384615384615384,0.32558139534883723,0.02406613624531598,47.0,1.5313339560012194,0.6808510638297872,0.3191489361702128
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S4_crowd_x_trend1d,2,191.0,0.33507853403141363,0.687253937007874,0.5789049386956069,0.809122871355331,0.2250111394508241,0.6910994764397905,0.5714285714285714,0.3125,0.3134426431180589,19.0,1.8643677483747378,0.7894736842105263,0.3684210526315789
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,S4_crowd_x_trend1d,3,509.0,0.2691552062868369,0.7191546974334825,0.46603076493326845,0.8066395454340418,0.2095786374590249,0.7328094302554028,0.5060240963855421,0.30656934306569344,0.007762846717477952,50.0,1.3973703532940989,0.6,0.22
