bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,5141,0.016333275397142515,0.07955650651624198,raw
1,0.05,0.1,1619,0.07262565477976218,0.21432983323038912,raw
2,0.1,0.15000000000000002,932,0.12304944629210053,0.27253218884120173,raw
3,0.15000000000000002,0.2,659,0.17313923381281737,0.30197268588770865,raw
4,0.2,0.25,476,0.22489535861911442,0.296218487394958,raw
5,0.25,0.30000000000000004,382,0.27396623097742745,0.41361256544502617,raw
6,0.30000000000000004,0.35000000000000003,340,0.3256634426457497,0.36470588235294116,raw
7,0.35000000000000003,0.4,273,0.37409960379851676,0.48717948717948717,raw
8,0.4,0.45,218,0.4222562829784283,0.46788990825688076,raw
9,0.45,0.5,224,0.47472238265597877,0.4419642857142857,raw
10,0.5,0.55,199,0.5256135587977722,0.49748743718592964,raw
11,0.55,0.6000000000000001,153,0.5745480664253316,0.5098039215686274,raw
12,0.6000000000000001,0.65,141,0.6261307721175924,0.5460992907801419,raw
13,0.65,0.7000000000000001,116,0.678537451159458,0.5948275862068966,raw
14,0.7000000000000001,0.75,114,0.7252760828285878,0.5263157894736842,raw
15,0.75,0.8,83,0.77485299542522,0.6144578313253012,raw
16,0.8,0.8500000000000001,71,0.823939851093334,0.704225352112676,raw
17,0.8500000000000001,0.9,58,0.8767099717939572,0.7586206896551724,raw
18,0.9,0.9500000000000001,54,0.9241926406012054,0.8148148148148148,raw
19,0.9500000000000001,1.0,18,0.9615184698729762,0.8333333333333334,raw
0,0.0,0.05,990,0.00014444184144697553,0.011111111111111112,cal_isotonic
1,0.05,0.1,2704,0.06563604340791851,0.0654585798816568,cal_isotonic
2,0.1,0.15000000000000002,1241,0.13513701462886635,0.14907332796132153,cal_isotonic
3,0.15000000000000002,0.2,0,,,cal_isotonic
4,0.2,0.25,1527,0.23460792848299492,0.20104780615586115,cal_isotonic
5,0.25,0.30000000000000004,663,0.2604856242749988,0.24132730015082957,cal_isotonic
6,0.30000000000000004,0.35000000000000003,1536,0.3448105733962798,0.2962239583333333,cal_isotonic
7,0.35000000000000003,0.4,141,0.3658218495039182,0.3120567375886525,cal_isotonic
8,0.4,0.45,710,0.42731498861990397,0.38591549295774646,cal_isotonic
9,0.45,0.5,0,,,cal_isotonic
10,0.5,0.55,923,0.5240273469741646,0.4712892741061755,cal_isotonic
11,0.55,0.6000000000000001,391,0.5678190316606402,0.5294117647058824,cal_isotonic
12,0.6000000000000001,0.65,0,,,cal_isotonic
13,0.65,0.7000000000000001,144,0.6510591958911692,0.5763888888888888,cal_isotonic
14,0.7000000000000001,0.75,72,0.7142180293419327,0.6111111111111112,cal_isotonic
15,0.75,0.8,160,0.7883033136386848,0.70625,cal_isotonic
16,0.8,0.8500000000000001,31,0.8000000000000003,0.8387096774193549,cal_isotonic
17,0.8500000000000001,0.9,33,0.8947368421052632,0.8181818181818182,cal_isotonic
18,0.9,0.9500000000000001,0,,,cal_isotonic
19,0.9500000000000001,1.0,5,0.9999999999990001,1.0,cal_isotonic
