bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,236,0.03017071690895544,0.01694915254237288,raw
1,0.05,0.1,556,0.07601800453439987,0.02158273381294964,raw
2,0.1,0.15000000000000002,703,0.12508498485302813,0.03698435277382646,raw
3,0.15000000000000002,0.2,746,0.17556178654194002,0.05361930294906166,raw
4,0.2,0.25,802,0.22554267573445913,0.08603491271820449,raw
5,0.25,0.30000000000000004,824,0.2752077077568382,0.11893203883495146,raw
6,0.30000000000000004,0.35000000000000003,753,0.32454413742607185,0.150066401062417,raw
7,0.35000000000000003,0.4,758,0.37465103606672345,0.17941952506596306,raw
8,0.4,0.45,720,0.4245044202117449,0.1597222222222222,raw
9,0.45,0.5,733,0.47430103633922704,0.24010914051841747,raw
10,0.5,0.55,655,0.5253830970964338,0.28549618320610687,raw
11,0.55,0.6000000000000001,627,0.5745695191950969,0.2902711323763955,raw
12,0.6000000000000001,0.65,608,0.6255452371311211,0.3026315789473684,raw
13,0.65,0.7000000000000001,549,0.6747384503635175,0.3588342440801457,raw
14,0.7000000000000001,0.75,498,0.7240186559231027,0.39959839357429716,raw
15,0.75,0.8,467,0.7749497896206484,0.43254817987152033,raw
16,0.8,0.8500000000000001,407,0.8242403959191236,0.4963144963144963,raw
17,0.8500000000000001,0.9,330,0.8741145639252698,0.6151515151515151,raw
18,0.9,0.9500000000000001,220,0.9223461385347536,0.6727272727272727,raw
19,0.9500000000000001,1.0,79,0.9679284293097749,0.759493670886076,raw
0,0.0,0.05,1205,0.03149090761459063,0.024066390041493777,cal_sigmoid
1,0.05,0.1,1921,0.07520429513935889,0.06871421134825612,cal_sigmoid
2,0.1,0.15000000000000002,1728,0.12372871650301721,0.1440972222222222,cal_sigmoid
3,0.15000000000000002,0.2,1372,0.17386222755326516,0.1749271137026239,cal_sigmoid
4,0.2,0.25,1108,0.22318817399582053,0.2527075812274368,cal_sigmoid
5,0.25,0.30000000000000004,862,0.2734134702889842,0.2900232018561485,cal_sigmoid
6,0.30000000000000004,0.35000000000000003,707,0.3238405453084859,0.32390381895332393,cal_sigmoid
7,0.35000000000000003,0.4,543,0.3738698285909657,0.3664825046040516,cal_sigmoid
8,0.4,0.45,426,0.4233869127594306,0.42018779342723006,cal_sigmoid
9,0.45,0.5,359,0.474531045497318,0.4233983286908078,cal_sigmoid
10,0.5,0.55,275,0.5235107948972576,0.4909090909090909,cal_sigmoid
11,0.55,0.6000000000000001,229,0.5739711459987453,0.4890829694323144,cal_sigmoid
12,0.6000000000000001,0.65,164,0.6244236941092236,0.6829268292682927,cal_sigmoid
13,0.65,0.7000000000000001,120,0.6713350324304158,0.6,cal_sigmoid
14,0.7000000000000001,0.75,115,0.7213927974163648,0.6695652173913044,cal_sigmoid
15,0.75,0.8,55,0.773372441208096,0.8181818181818182,cal_sigmoid
16,0.8,0.8500000000000001,41,0.8216885965632186,0.7073170731707317,cal_sigmoid
17,0.8500000000000001,0.9,23,0.8690754479983008,0.782608695652174,cal_sigmoid
18,0.9,0.9500000000000001,10,0.9154554989414297,0.9,cal_sigmoid
19,0.9500000000000001,1.0,8,0.9716818903314652,0.625,cal_sigmoid
