scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
ALL,0.0,11271,0.22651051370774555,-0.10082579748511883,-1136.4075634547744,0.25694259604294206,0.16484783958832402,-0.3001704757059602,36.0,36.0
ALL,0.02,11042,0.23084586125701867,-0.07249604146684419,-800.5012898768936,0.2619090744430357,0.16790436515124071,-0.2709229346937129,35.0,35.0
ALL,0.04,10435,0.2428366075706756,-0.018875430915298242,-196.96512160113716,0.27561092477240057,0.17623382846190705,-0.21765178127727977,34.0,34.0
ALL,0.06,9681,0.2588575560375994,0.048775647839442986,472.19704673364754,0.2934614192748683,0.18717074682367524,-0.14980322427584503,33.0,33.0
ALL,0.08,8923,0.27580410175949793,0.12083696422755259,1078.2282318024518,0.31267510926818337,0.19825170906645748,-0.07624842289462434,32.0,26.0
ALL,0.1,8145,0.2936771025168815,0.1956490088197191,1593.561176836612,0.3323511356660528,0.20883977900552486,0.004914519837417198,31.0,20.0
ALL,0.12,7379,0.3119663911099065,0.27233291652620906,2009.5445910468966,0.35357094457243526,0.22062610109770972,0.08789044282501696,30.0,16.0
ALL,0.14,6738,0.327693677649154,0.34006739882073184,2291.3741332540912,0.37088156723063226,0.22825764321757197,0.1635092190172936,29.0,12.0
ALL,0.16,6115,0.3439084219133279,0.4113188929711249,2515.2150305184286,0.38986099754701553,0.23941128372853637,0.24832828099494567,28.0,8.0
ALL,0.18,5542,0.36015878744135693,0.4818767857467524,2670.561146608502,0.40743413929989175,0.247924936845904,0.3342300496904716,27.0,6.0
ALL,0.2,5045,0.377205153617443,0.5571418991879912,2810.7808814034156,0.4255698711595639,0.2547076313181368,0.4261432893095935,26.0,2.0
ALL,0.22,4543,0.39335241030156287,0.6211606223901253,2821.932707518339,0.44155844155844154,0.26084085406119306,0.5036765358295159,25.0,1.0
ALL,0.24,4126,0.40499272903538536,0.6762709499704102,2790.293939577912,0.45395055744062046,0.2644207464857004,0.5729137893000711,24.0,3.0
ALL,0.26,3734,0.4172469201928227,0.7374724736370597,2753.722216560781,0.467327262988752,0.26861274772362076,0.6579492569171324,23.0,4.0
ALL,0.28,3377,0.43322475570032576,0.7991041137452031,2698.5745921175508,0.4823808113710394,0.2750962392656204,0.7305598179273093,22.0,5.0
ALL,0.3,3075,0.44650406504065043,0.8539709603017678,2625.960702927936,0.4978861788617886,0.2848780487804878,0.8027443994792841,21.0,7.0
ALL,0.32,2769,0.4586493318887685,0.9082567559608256,2514.962957255526,0.5117370892018779,0.28710725893824485,0.8721742220138731,20.0,9.0
ALL,0.34,2485,0.4788732394366197,0.9965816046005598,2476.505287432391,0.5299798792756539,0.2909456740442656,0.9847521088338349,19.0,10.0
ALL,0.36,2246,0.4866429207479964,1.034502602682733,2323.4928456254183,0.5400712377560107,0.2934105075690116,1.0403189010481864,18.0,11.0
ALL,0.38,2022,0.5039564787339268,1.110385380118228,2245.199238599057,0.5558852621167161,0.2962413452027695,1.1350064289613064,17.0,13.0
ALL,0.4,1825,0.5178082191780822,1.1725104693462196,2139.8316065568506,0.5704109589041096,0.30082191780821915,1.2238225452095197,16.0,14.0
ALL,0.42,1631,0.5328019619865113,1.2333425413665084,2011.5816849687753,0.5873697118332312,0.3083997547516861,1.3069884156116869,15.0,15.0
