bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.05,990,0.00014444184144697553,-1.017842992468655,0.01
1,0.05,0.1,2704,0.06563604340791851,-0.8082182837984906,0.01
2,0.1,0.15000000000000002,1241,0.13513701462886635,-0.45898752736256043,0.01
3,0.15000000000000002,0.2,0,,,0.01
4,0.2,0.25,1527,0.23460792848299492,-0.22114989403398558,0.01
5,0.25,0.30000000000000004,663,0.2604856242749988,-0.032059114391498,0.01
6,0.30000000000000004,0.35000000000000003,1536,0.3448105733962798,0.1755768733427331,0.10256894720179015
7,0.35000000000000003,0.4,141,0.3658218495039182,0.2677095157523324,0.15114380531608976
8,0.4,0.45,710,0.42731498861990397,0.5960764468054448,0.32426786502145927
9,0.45,0.5,0,,,0.01
10,0.5,0.55,923,0.5240273469741646,0.975429341532452,0.5242731243376003
11,0.55,0.6000000000000001,391,0.5678190316606402,1.3263297767184075,0.709277465965252
12,0.6000000000000001,0.65,0,,,0.01
13,0.65,0.7000000000000001,144,0.6510591958911692,1.4267537095243314,0.7622237199719586
14,0.7000000000000001,0.75,72,0.7142180293419327,1.5382332177803266,0.01
15,0.75,0.8,160,0.7883033136386848,2.071030482434298,1.0
16,0.8,0.8500000000000001,31,0.8000000000000003,2.6302865560004434,0.01
17,0.8500000000000001,0.9,33,0.8947368421052632,2.7270617630793414,0.01
18,0.9,0.9500000000000001,0,,,0.01
19,0.9500000000000001,1.0,5,0.9999999999990001,3.3136190342339114,0.01
