bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.05,1205,0.03149090761459063,-1.069550382046106,0.01
1,0.05,0.1,1921,0.07520429513935889,-0.7502137063643042,0.01
2,0.1,0.15000000000000002,1728,0.12372871650301721,-0.44469832802380727,0.01
3,0.15000000000000002,0.2,1372,0.17386222755326516,-0.327099849665936,0.01
4,0.2,0.25,1108,0.22318817399582053,0.01215720077016287,0.016341308417766282
5,0.25,0.30000000000000004,862,0.2734134702889842,0.19878190257788733,0.1136864798030202
6,0.30000000000000004,0.35000000000000003,707,0.3238405453084859,0.3125316669726367,0.17301940948907754
7,0.35000000000000003,0.4,543,0.3738698285909657,0.48834108254407305,0.2647232274947733
8,0.4,0.45,426,0.4233869127594306,0.74791945374423,0.40012170790825125
9,0.45,0.5,359,0.474531045497318,0.7228629383805475,0.38705199763534265
10,0.5,0.55,275,0.5235107948972576,1.0279406959570097,0.5461833790089978
11,0.55,0.6000000000000001,229,0.5739711459987453,1.040385894322585,0.5526749096375025
12,0.6000000000000001,0.65,164,0.6244236941092236,1.8337180862231497,0.9664843219925993
13,0.65,0.7000000000000001,120,0.6713350324304158,1.5725131438128557,0.8302374069845185
14,0.7000000000000001,0.75,115,0.7213927974163648,1.962226841716745,1.0
15,0.75,0.8,55,0.773372441208096,2.5212317823824724,0.01
16,0.8,0.8500000000000001,41,0.8216885965632186,2.0762329276641323,0.01
17,0.8500000000000001,0.9,23,0.8690754479983008,2.5558809147245625,0.01
18,0.9,0.9500000000000001,10,0.9154554989414297,2.5930404168994476,0.01
19,0.9500000000000001,1.0,8,0.9716818903314652,2.147708715831561,0.01
