bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,4254,0.011867936280835404,0.10460742830277386,raw
1,0.05,0.1,835,0.07349522759655915,0.26586826347305387,raw
2,0.1,0.15000000000000002,471,0.12188880534061323,0.33121019108280253,raw
3,0.15000000000000002,0.2,349,0.17411826538558595,0.3151862464183381,raw
4,0.2,0.25,252,0.22391051360820766,0.3611111111111111,raw
5,0.25,0.30000000000000004,206,0.27242980127627503,0.3932038834951456,raw
6,0.30000000000000004,0.35000000000000003,173,0.3231091303297988,0.4393063583815029,raw
7,0.35000000000000003,0.4,159,0.374305945327035,0.4339622641509434,raw
8,0.4,0.45,125,0.42314308480426716,0.472,raw
9,0.45,0.5,111,0.473742061991526,0.5495495495495496,raw
10,0.5,0.55,92,0.5263186515773682,0.42391304347826086,raw
11,0.55,0.6000000000000001,76,0.5752346006583707,0.5921052631578947,raw
12,0.6000000000000001,0.65,74,0.6241711783414595,0.6216216216216216,raw
13,0.65,0.7000000000000001,69,0.6738414336628882,0.4492753623188406,raw
14,0.7000000000000001,0.75,65,0.7229105317414795,0.49230769230769234,raw
15,0.75,0.8,44,0.7743247590994955,0.6590909090909091,raw
16,0.8,0.8500000000000001,59,0.8264672096657508,0.6779661016949152,raw
17,0.8500000000000001,0.9,40,0.8754234914455324,0.675,raw
18,0.9,0.9500000000000001,38,0.9241864627190456,0.6578947368421053,raw
19,0.9500000000000001,1.0,22,0.9695709796375875,0.6818181818181818,raw
0,0.0,0.05,1309,0.02607441525165139,0.03819709702062643,cal_sigmoid
1,0.05,0.1,974,0.07393389250632984,0.07084188911704312,cal_sigmoid
2,0.1,0.15000000000000002,820,0.1235896843888672,0.1475609756097561,cal_sigmoid
3,0.15000000000000002,0.2,647,0.17411457286181228,0.16537867078825347,cal_sigmoid
4,0.2,0.25,565,0.22372724714464562,0.2,cal_sigmoid
5,0.25,0.30000000000000004,519,0.27528648480301426,0.25626204238921,cal_sigmoid
6,0.30000000000000004,0.35000000000000003,477,0.3242077882701023,0.2976939203354298,cal_sigmoid
7,0.35000000000000003,0.4,374,0.3738006760896581,0.32620320855614976,cal_sigmoid
8,0.4,0.45,363,0.42361811837794666,0.36639118457300274,cal_sigmoid
9,0.45,0.5,312,0.4735561657757195,0.3525641025641026,cal_sigmoid
10,0.5,0.55,276,0.5243273915313088,0.4528985507246377,cal_sigmoid
11,0.55,0.6000000000000001,239,0.5732570642579198,0.4686192468619247,cal_sigmoid
12,0.6000000000000001,0.65,178,0.6235380907053131,0.48314606741573035,cal_sigmoid
13,0.65,0.7000000000000001,147,0.6737686034655327,0.564625850340136,cal_sigmoid
14,0.7000000000000001,0.75,121,0.7221278441041127,0.5371900826446281,cal_sigmoid
15,0.75,0.8,81,0.7751834671242939,0.6419753086419753,cal_sigmoid
16,0.8,0.8500000000000001,59,0.8210020621917963,0.6949152542372882,cal_sigmoid
17,0.8500000000000001,0.9,38,0.8707647934908677,0.5789473684210527,cal_sigmoid
18,0.9,0.9500000000000001,12,0.9183530339790452,0.8333333333333334,cal_sigmoid
19,0.9500000000000001,1.0,3,0.958819576540712,1.0,cal_sigmoid
