bin,bin_low,bin_high,n,mean_p,obs_rate,variant
0,0.0,0.05,299,0.027706616919923086,0.013377926421404682,raw
1,0.05,0.1,464,0.07574122916343767,0.040948275862068964,raw
2,0.1,0.15000000000000002,455,0.1253031225270025,0.07032967032967033,raw
3,0.15000000000000002,0.2,491,0.17611004656184134,0.07942973523421588,raw
4,0.2,0.25,449,0.22502513421558235,0.0957683741648107,raw
5,0.25,0.30000000000000004,478,0.2755261703265595,0.09832635983263599,raw
6,0.30000000000000004,0.35000000000000003,445,0.32458916553394956,0.16404494382022472,raw
7,0.35000000000000003,0.4,438,0.3756415396890772,0.19406392694063926,raw
8,0.4,0.45,425,0.4246929644995994,0.19294117647058823,raw
9,0.45,0.5,438,0.47606026107952165,0.2054794520547945,raw
10,0.5,0.55,435,0.5257887803889641,0.27586206896551724,raw
11,0.55,0.6000000000000001,389,0.5749556713915267,0.2853470437017995,raw
12,0.6000000000000001,0.65,400,0.6254965861515005,0.2325,raw
13,0.65,0.7000000000000001,381,0.6742128531948919,0.34120734908136485,raw
14,0.7000000000000001,0.75,346,0.7249042704464654,0.3439306358381503,raw
15,0.75,0.8,329,0.7751892083669762,0.46200607902735563,raw
16,0.8,0.8500000000000001,313,0.8243554959974815,0.46645367412140576,raw
17,0.8500000000000001,0.9,256,0.8743230787993919,0.515625,raw
18,0.9,0.9500000000000001,198,0.9241577732705294,0.6565656565656566,raw
19,0.9500000000000001,1.0,85,0.9701905073563736,0.611764705882353,raw
0,0.0,0.05,810,0.030500002021408693,0.03209876543209877,cal_sigmoid
1,0.05,0.1,1155,0.07536052582280502,0.07965367965367966,cal_sigmoid
2,0.1,0.15000000000000002,1070,0.12468573884683931,0.11869158878504672,cal_sigmoid
3,0.15000000000000002,0.2,872,0.17425324476725806,0.1926605504587156,cal_sigmoid
4,0.2,0.25,769,0.2241059280632904,0.23016905071521457,cal_sigmoid
5,0.25,0.30000000000000004,625,0.27366654497652365,0.2752,cal_sigmoid
6,0.30000000000000004,0.35000000000000003,512,0.3246786966523876,0.291015625,cal_sigmoid
7,0.35000000000000003,0.4,390,0.3738444174990793,0.33589743589743587,cal_sigmoid
8,0.4,0.45,313,0.42357512761660304,0.402555910543131,cal_sigmoid
9,0.45,0.5,260,0.47440042936743254,0.45,cal_sigmoid
10,0.5,0.55,211,0.5232173192962639,0.5023696682464455,cal_sigmoid
11,0.55,0.6000000000000001,146,0.5725481855338502,0.4726027397260274,cal_sigmoid
12,0.6000000000000001,0.65,121,0.6220576545259789,0.5867768595041323,cal_sigmoid
13,0.65,0.7000000000000001,94,0.6722447938208105,0.5957446808510638,cal_sigmoid
14,0.7000000000000001,0.75,64,0.7246660963753169,0.75,cal_sigmoid
15,0.75,0.8,46,0.7692362969701425,0.6304347826086957,cal_sigmoid
16,0.8,0.8500000000000001,27,0.8228962764888499,0.6296296296296297,cal_sigmoid
17,0.8500000000000001,0.9,13,0.874450586002381,0.6923076923076923,cal_sigmoid
18,0.9,0.9500000000000001,8,0.9279800547273326,0.875,cal_sigmoid
19,0.9500000000000001,1.0,8,0.973947522781173,0.25,cal_sigmoid
