bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.05,1309,0.02607441525165139,-0.8971503028655369,0.01
1,0.05,0.1,974,0.07393389250632984,-0.7953435811507809,0.01
2,0.1,0.15000000000000002,820,0.1235896843888672,-0.4623431968495069,0.01
3,0.15000000000000002,0.2,647,0.17411457286181228,-0.3969362709936398,0.01
4,0.2,0.25,565,0.22372724714464562,-0.2464351132262052,0.01
5,0.25,0.30000000000000004,519,0.27528648480301426,0.014620233280193752,0.019712221946525756
6,0.30000000000000004,0.35000000000000003,477,0.3242077882701023,0.1852683575545322,0.13307378232299058
7,0.35000000000000003,0.4,374,0.3738006760896581,0.2934274489824553,0.20492387399735817
8,0.4,0.45,363,0.42361811837794666,0.41311268632131215,0.28443078517177306
9,0.45,0.5,312,0.4735561657757195,0.42017690539778657,0.2891235463770643
10,0.5,0.55,276,0.5243273915313088,0.8068117490991371,0.5459650989243058
11,0.55,0.6000000000000001,239,0.5732570642579198,0.9923012898597635,0.6691858132659079
12,0.6000000000000001,0.65,178,0.6235380907053131,1.057183696418584,0.712287200285338
13,0.65,0.7000000000000001,147,0.6737686034655327,1.5137886663264466,1.0
14,0.7000000000000001,0.75,121,0.7221278441041127,1.461570255026996,0.9809212182334152
15,0.75,0.8,81,0.7751834671242939,1.9914321088497267,0.01
16,0.8,0.8500000000000001,59,0.8210020621917963,2.129154247539898,0.01
17,0.8500000000000001,0.9,38,0.8707647934908677,1.6329591362652975,0.01
18,0.9,0.9500000000000001,12,0.9183530339790452,2.9607229167892406,0.01
19,0.9500000000000001,1.0,3,0.958819576540712,3.4357192443887237,0.01
